customer_id,avg_basket_30d,recency_days,nb_orders_90d,category_pref,week
6000,151.19,6.5,1,Mode,production_semaine_courante
6001,89.31,14.3,4,Maison,production_semaine_courante
6002,212.73,10.1,1,Sport,production_semaine_courante
6003,36.19,,1,Jardin,production_semaine_courante
6004,157.41,12.3,0,Maison,production_semaine_courante
6005,45.62,24.4,3,Maison,production_semaine_courante
6006,96.28,8.8,2,Maison,production_semaine_courante
6007,75.92,10.1,0,Electronique,production_semaine_courante
6008,82.31,16.6,0,Jardin,production_semaine_courante
6009,106.28,,1,Electronique,production_semaine_courante
6010,45.07,7.3,1,Mode,production_semaine_courante
6011,183.23,14.7,4,Electronique,production_semaine_courante
6012,33.25,0.4,0,Sport,production_semaine_courante
6013,10.4,8.6,2,Jardin,production_semaine_courante
6014,51.89,13.7,3,Electronique,production_semaine_courante
6015,121.12,,2,Maison,production_semaine_courante
6016,40.02,31.4,2,Electronique,production_semaine_courante
6017,98.5,4.9,0,Jardin,production_semaine_courante
6018,62.8,,1,Beaute,production_semaine_courante
6019,155.26,0.9,0,Livres,production_semaine_courante
6020,37.86,4.1,0,Sport,production_semaine_courante
6021,108.92,22.4,0,Jardin,production_semaine_courante
6022,51.76,2.0,0,Maison,production_semaine_courante
6023,42.4,4.5,1,Sport,production_semaine_courante
6024,78.27,,0,Livres,production_semaine_courante
6025,41.37,,2,Sport,production_semaine_courante
6026,37.55,,0,Mode,production_semaine_courante
6027,99.05,,3,Maison,production_semaine_courante
6028,180.55,20.8,0,Electronique,production_semaine_courante
6029,179.8,1.9,0,Maison,production_semaine_courante
6030,96.4,10.9,0,Beaute,production_semaine_courante
6031,80.08,8.8,7,Electronique,production_semaine_courante
6032,55.38,5.6,1,Beaute,production_semaine_courante
6033,15.68,26.9,3,Jardin,production_semaine_courante
6034,231.84,9.4,2,Maison,production_semaine_courante
6035,37.56,0.9,3,Mode,production_semaine_courante
6036,187.22,4.8,1,Jardin,production_semaine_courante
6037,46.11,3.9,1,Livres,production_semaine_courante
6038,27.94,32.8,1,Electronique,production_semaine_courante
6039,232.62,15.6,1,Maison,production_semaine_courante
6040,132.53,,3,Livres,production_semaine_courante
6041,73.23,10.6,1,Beaute,production_semaine_courante
6042,49.81,15.8,1,Beaute,production_semaine_courante
6043,20.74,21.1,1,Beaute,production_semaine_courante
6044,126.11,12.1,1,Jardin,production_semaine_courante
6045,54.54,41.8,1,Maison,production_semaine_courante
6046,220.27,56.5,1,Livres,production_semaine_courante
6047,55.11,80.5,1,Jardin,production_semaine_courante
6048,75.07,16.6,0,Maison,production_semaine_courante
6049,21.47,40.5,1,Jardin,production_semaine_courante
6050,149.33,,0,Mode,production_semaine_courante
6051,66.53,29.4,2,Mode,production_semaine_courante
6052,90.23,36.0,0,Jardin,production_semaine_courante
6053,68.78,35.2,0,Electronique,production_semaine_courante
6054,14.94,26.7,2,Mode,production_semaine_courante
6055,101.0,,0,Sport,production_semaine_courante
6056,117.95,2.6,1,Maison,production_semaine_courante
6057,90.21,6.1,2,Beaute,production_semaine_courante
6058,169.35,21.9,0,Mode,production_semaine_courante
6059,67.61,4.0,1,Electronique,production_semaine_courante
6060,16.32,9.8,0,Maison,production_semaine_courante
6061,66.7,12.5,3,Sport,production_semaine_courante
6062,63.5,13.9,1,Beaute,production_semaine_courante
6063,92.21,41.2,1,Beaute,production_semaine_courante
6064,29.48,16.2,1,Sport,production_semaine_courante
6065,262.66,23.1,0,Mode,production_semaine_courante
6066,70.51,13.1,4,Jardin,production_semaine_courante
6067,57.72,26.9,0,Electronique,production_semaine_courante
6068,99.39,4.6,1,Mode,production_semaine_courante
6069,47.97,3.5,0,Livres,production_semaine_courante
6070,33.56,39.1,0,Mode,production_semaine_courante
6071,16.59,17.7,0,Sport,production_semaine_courante
6072,80.94,16.7,1,Maison,production_semaine_courante
6073,107.64,9.4,0,Sport,production_semaine_courante
6074,23.45,,1,Maison,production_semaine_courante
6075,199.35,12.2,2,Jardin,production_semaine_courante
6076,36.24,1.9,1,Maison,production_semaine_courante
6077,50.21,9.1,1,Beaute,production_semaine_courante
6078,198.53,,2,Jardin,production_semaine_courante
6079,72.11,11.6,1,Beaute,production_semaine_courante
6080,109.32,15.1,1,Beaute,production_semaine_courante
6081,34.04,,1,Beaute,production_semaine_courante
6082,77.61,15.8,2,Sport,production_semaine_courante
6083,63.34,32.3,2,Jardin,production_semaine_courante
6084,7.36,12.2,0,Electronique,production_semaine_courante
6085,163.22,14.8,1,Jardin,production_semaine_courante
6086,128.04,1.1,1,Beaute,production_semaine_courante
6087,22.2,2.1,0,Jardin,production_semaine_courante
6088,85.0,,2,Electronique,production_semaine_courante
6089,50.23,,1,Jardin,production_semaine_courante
6090,61.44,24.1,2,Electronique,production_semaine_courante
6091,126.16,11.8,0,Livres,production_semaine_courante
6092,58.58,32.1,0,Maison,production_semaine_courante
6093,86.56,53.8,0,Livres,production_semaine_courante
6094,98.33,2.4,0,Beaute,production_semaine_courante
6095,58.54,7.5,1,Mode,production_semaine_courante
6096,108.4,16.4,2,Sport,production_semaine_courante
6097,125.06,5.5,1,Mode,production_semaine_courante
6098,134.05,4.7,1,Beaute,production_semaine_courante
6099,6.58,25.2,1,Livres,production_semaine_courante
6100,33.43,59.0,2,Electronique,production_semaine_courante
6101,35.97,22.3,0,Sport,production_semaine_courante
6102,59.85,11.1,0,Beaute,production_semaine_courante
6103,55.68,8.8,1,Mode,production_semaine_courante
6104,167.06,11.6,0,Jardin,production_semaine_courante
6105,10.76,9.3,2,Sport,production_semaine_courante
6106,155.82,10.5,2,Mode,production_semaine_courante
6107,27.5,,3,Electronique,production_semaine_courante
6108,54.63,35.1,1,Sport,production_semaine_courante
6109,43.8,21.1,0,Maison,production_semaine_courante
6110,60.16,17.1,1,Mode,production_semaine_courante
6111,21.76,44.9,1,Electronique,production_semaine_courante
6112,69.36,5.0,1,Beaute,production_semaine_courante
6113,46.25,1.3,1,Beaute,production_semaine_courante
6114,88.41,26.2,0,Electronique,production_semaine_courante
6115,118.79,96.7,2,Beaute,production_semaine_courante
6116,41.61,13.0,2,Jardin,production_semaine_courante
