customer_id,avg_basket_30d,recency_days,nb_orders_90d,category_pref,week
6000,5.44,22.4,2,Mode,reference_S-8_a_S-1
6001,19.61,12.7,2,Livres,reference_S-8_a_S-1
6002,29.69,21.5,4,Maison,reference_S-8_a_S-1
6003,137.11,2.4,3,Maison,reference_S-8_a_S-1
6004,59.4,12.7,2,Mode,reference_S-8_a_S-1
6005,9.02,4.4,3,Maison,reference_S-8_a_S-1
6006,38.72,3.9,6,Maison,reference_S-8_a_S-1
6007,100.78,0.2,8,Mode,reference_S-8_a_S-1
6008,25.53,2.1,3,Livres,reference_S-8_a_S-1
6009,84.97,5.6,0,Beaute,reference_S-8_a_S-1
6010,9.35,1.9,5,Sport,reference_S-8_a_S-1
6011,0.81,63.9,3,Maison,reference_S-8_a_S-1
6012,93.65,5.5,4,Maison,reference_S-8_a_S-1
6013,28.43,2.1,3,Electronique,reference_S-8_a_S-1
6014,30.34,3.3,2,Mode,reference_S-8_a_S-1
6015,48.12,13.3,3,Sport,reference_S-8_a_S-1
6016,57.91,1.0,1,Maison,reference_S-8_a_S-1
6017,1.9,29.8,3,Beaute,reference_S-8_a_S-1
6018,23.83,48.9,0,Electronique,reference_S-8_a_S-1
6019,43.6,4.3,1,Maison,reference_S-8_a_S-1
6020,57.82,9.0,3,Maison,reference_S-8_a_S-1
6021,17.68,0.3,1,Maison,reference_S-8_a_S-1
6022,35.35,15.4,0,Beaute,reference_S-8_a_S-1
6023,25.46,8.0,0,Livres,reference_S-8_a_S-1
6024,49.33,4.7,4,Electronique,reference_S-8_a_S-1
6025,91.39,3.5,3,Electronique,reference_S-8_a_S-1
6026,31.73,15.9,4,Electronique,reference_S-8_a_S-1
6027,11.22,8.1,7,Sport,reference_S-8_a_S-1
6028,22.71,3.0,3,Mode,reference_S-8_a_S-1
6029,126.49,17.5,1,Sport,reference_S-8_a_S-1
6030,19.68,12.5,3,Mode,reference_S-8_a_S-1
6031,13.66,29.4,3,Maison,reference_S-8_a_S-1
6032,30.16,1.9,2,Sport,reference_S-8_a_S-1
6033,38.72,23.1,7,Maison,reference_S-8_a_S-1
6034,26.81,16.8,2,Maison,reference_S-8_a_S-1
6035,9.41,1.8,4,Electronique,reference_S-8_a_S-1
6036,52.93,17.8,3,Mode,reference_S-8_a_S-1
6037,49.37,8.7,2,Maison,reference_S-8_a_S-1
6038,68.26,43.5,0,Maison,reference_S-8_a_S-1
6039,48.54,2.3,7,Livres,reference_S-8_a_S-1
6040,119.64,15.4,5,Livres,reference_S-8_a_S-1
6041,72.03,7.2,5,Beaute,reference_S-8_a_S-1
6042,62.19,47.1,1,Mode,reference_S-8_a_S-1
6043,93.67,6.0,4,Sport,reference_S-8_a_S-1
6044,46.36,49.1,4,Mode,reference_S-8_a_S-1
6045,35.95,34.8,2,Electronique,reference_S-8_a_S-1
6046,52.49,4.7,1,Mode,reference_S-8_a_S-1
6047,5.09,24.4,4,Electronique,reference_S-8_a_S-1
6048,46.47,81.4,5,Mode,reference_S-8_a_S-1
6049,38.69,4.4,5,Maison,reference_S-8_a_S-1
6050,56.73,8.6,2,Livres,reference_S-8_a_S-1
6051,85.14,11.0,6,Mode,reference_S-8_a_S-1
6052,63.48,5.2,3,Livres,reference_S-8_a_S-1
6053,22.76,0.2,4,Electronique,reference_S-8_a_S-1
6054,75.83,3.7,4,Electronique,reference_S-8_a_S-1
6055,120.8,5.0,2,Maison,reference_S-8_a_S-1
6056,86.65,8.8,10,Sport,reference_S-8_a_S-1
6057,12.31,2.8,4,Electronique,reference_S-8_a_S-1
6058,63.01,31.0,3,Electronique,reference_S-8_a_S-1
6059,14.29,18.3,0,Maison,reference_S-8_a_S-1
6060,33.18,1.3,2,Mode,reference_S-8_a_S-1
6061,55.52,15.8,2,Sport,reference_S-8_a_S-1
6062,50.32,15.9,1,Maison,reference_S-8_a_S-1
6063,85.51,46.9,4,Electronique,reference_S-8_a_S-1
6064,121.18,0.0,4,Beaute,reference_S-8_a_S-1
6065,59.62,,2,Mode,reference_S-8_a_S-1
6066,31.15,39.4,3,Sport,reference_S-8_a_S-1
6067,5.43,40.4,6,Sport,reference_S-8_a_S-1
6068,100.34,19.1,2,Livres,reference_S-8_a_S-1
6069,38.85,21.8,2,Maison,reference_S-8_a_S-1
6070,40.47,1.4,4,Maison,reference_S-8_a_S-1
6071,43.01,10.8,5,Mode,reference_S-8_a_S-1
6072,57.66,4.0,2,Sport,reference_S-8_a_S-1
6073,58.89,3.0,2,Maison,reference_S-8_a_S-1
6074,33.61,24.9,4,Mode,reference_S-8_a_S-1
6075,38.55,2.2,3,Beaute,reference_S-8_a_S-1
6076,25.08,9.5,4,Electronique,reference_S-8_a_S-1
6077,22.75,41.8,3,Beaute,reference_S-8_a_S-1
6078,22.65,3.1,2,Beaute,reference_S-8_a_S-1
6079,38.2,57.2,5,Maison,reference_S-8_a_S-1
6080,18.91,77.5,0,Maison,reference_S-8_a_S-1
6081,0.65,12.2,4,Mode,reference_S-8_a_S-1
6082,30.7,2.8,3,Livres,reference_S-8_a_S-1
6083,13.13,5.7,1,Electronique,reference_S-8_a_S-1
6084,45.3,8.3,4,Maison,reference_S-8_a_S-1
6085,25.0,5.6,4,Sport,reference_S-8_a_S-1
6086,58.18,4.9,3,Livres,reference_S-8_a_S-1
6087,14.41,53.8,0,Sport,reference_S-8_a_S-1
6088,6.84,2.5,3,Maison,reference_S-8_a_S-1
6089,38.63,19.8,5,Electronique,reference_S-8_a_S-1
6090,29.63,0.0,1,Mode,reference_S-8_a_S-1
6091,11.97,13.6,5,Electronique,reference_S-8_a_S-1
6092,72.07,37.1,2,Beaute,reference_S-8_a_S-1
6093,16.97,5.1,2,Sport,reference_S-8_a_S-1
6094,21.79,3.1,2,Sport,reference_S-8_a_S-1
6095,81.74,15.8,3,Sport,reference_S-8_a_S-1
6096,60.62,18.7,5,Maison,reference_S-8_a_S-1
6097,15.23,17.5,5,Electronique,reference_S-8_a_S-1
6098,31.88,5.8,2,Mode,reference_S-8_a_S-1
6099,13.75,,3,Electronique,reference_S-8_a_S-1
6100,77.68,46.8,0,Sport,reference_S-8_a_S-1
6101,77.64,38.5,4,Electronique,reference_S-8_a_S-1
6102,133.01,9.2,2,Sport,reference_S-8_a_S-1
6103,167.21,28.1,8,Sport,reference_S-8_a_S-1
6104,24.74,9.0,5,Maison,reference_S-8_a_S-1
6105,69.16,8.3,4,Electronique,reference_S-8_a_S-1
6106,5.65,2.6,3,Mode,reference_S-8_a_S-1
6107,47.93,8.3,3,Mode,reference_S-8_a_S-1
6108,56.96,11.6,1,Sport,reference_S-8_a_S-1
6109,17.87,0.3,1,Electronique,reference_S-8_a_S-1
6110,23.41,8.8,3,Beaute,reference_S-8_a_S-1
6111,78.01,22.8,4,Sport,reference_S-8_a_S-1
6112,57.99,17.1,2,Electronique,reference_S-8_a_S-1
6113,121.96,15.1,2,Sport,reference_S-8_a_S-1
6114,112.7,36.0,4,Sport,reference_S-8_a_S-1
6115,7.81,0.3,2,Sport,reference_S-8_a_S-1
6116,26.93,12.2,3,Electronique,reference_S-8_a_S-1
6117,16.13,23.2,2,Electronique,reference_S-8_a_S-1
6118,71.21,11.7,1,Electronique,reference_S-8_a_S-1
6119,51.51,5.9,4,Mode,reference_S-8_a_S-1
6120,17.22,2.2,3,Sport,reference_S-8_a_S-1
6121,19.88,32.8,2,Sport,reference_S-8_a_S-1
6122,96.41,9.5,4,Livres,reference_S-8_a_S-1
6123,29.58,31.6,2,Electronique,reference_S-8_a_S-1
6124,4.52,13.2,3,Electronique,reference_S-8_a_S-1
6125,15.78,16.8,0,Sport,reference_S-8_a_S-1
6126,138.81,24.5,4,Mode,reference_S-8_a_S-1
6127,83.37,16.1,4,Mode,reference_S-8_a_S-1
6128,12.87,7.6,3,Maison,reference_S-8_a_S-1
6129,47.92,10.8,0,Electronique,reference_S-8_a_S-1
6130,79.86,24.4,0,Maison,reference_S-8_a_S-1
6131,7.68,7.0,3,Mode,reference_S-8_a_S-1
6132,86.03,7.4,2,Maison,reference_S-8_a_S-1
6133,57.59,,3,Beaute,reference_S-8_a_S-1
6134,22.2,36.9,2,Electronique,reference_S-8_a_S-1
6135,64.33,1.4,6,Livres,reference_S-8_a_S-1
6136,52.05,15.7,4,Maison,reference_S-8_a_S-1
6137,54.69,8.0,3,Livres,reference_S-8_a_S-1
6138,46.63,7.8,4,Electronique,reference_S-8_a_S-1
6139,19.21,17.1,6,Maison,reference_S-8_a_S-1
6140,22.65,1.0,3,Mode,reference_S-8_a_S-1
6141,34.44,13.5,0,Sport,reference_S-8_a_S-1
6142,43.17,22.2,0,Maison,reference_S-8_a_S-1
6143,67.04,26.4,7,Maison,reference_S-8_a_S-1
6144,140.97,2.8,5,Livres,reference_S-8_a_S-1
6145,49.59,34.2,2,Mode,reference_S-8_a_S-1
6146,66.21,16.0,6,Electronique,reference_S-8_a_S-1
6147,77.08,32.0,6,Maison,reference_S-8_a_S-1
6148,69.54,10.0,2,Maison,reference_S-8_a_S-1
6149,18.54,11.7,4,Mode,reference_S-8_a_S-1
6150,102.51,37.7,2,Maison,reference_S-8_a_S-1
6151,92.0,34.5,1,Livres,reference_S-8_a_S-1
6152,46.15,8.9,5,Sport,reference_S-8_a_S-1
6153,19.58,4.8,7,Electronique,reference_S-8_a_S-1
6154,42.64,7.5,0,Electronique,reference_S-8_a_S-1
6155,8.86,7.4,2,Livres,reference_S-8_a_S-1
6156,111.46,5.1,0,Sport,reference_S-8_a_S-1
6157,24.51,4.7,4,Livres,reference_S-8_a_S-1
6158,33.04,29.6,5,Mode,reference_S-8_a_S-1
6159,106.27,1.1,2,Sport,reference_S-8_a_S-1
6160,97.96,17.0,1,Sport,reference_S-8_a_S-1
6161,53.56,2.8,3,Mode,reference_S-8_a_S-1
6162,122.57,6.3,2,Maison,reference_S-8_a_S-1
6163,17.99,1.0,3,Maison,reference_S-8_a_S-1
6164,53.58,4.7,3,Maison,reference_S-8_a_S-1
6165,18.13,21.9,5,Beaute,reference_S-8_a_S-1
6166,88.25,32.4,4,Beaute,reference_S-8_a_S-1
6167,86.17,3.8,2,Beaute,reference_S-8_a_S-1
6168,128.28,9.3,7,Beaute,reference_S-8_a_S-1
6169,41.66,9.5,3,Maison,reference_S-8_a_S-1
6170,151.77,31.0,3,Mode,reference_S-8_a_S-1
6171,16.75,21.6,0,Beaute,reference_S-8_a_S-1
6172,39.95,10.8,6,Maison,reference_S-8_a_S-1
6173,17.32,16.7,3,Electronique,reference_S-8_a_S-1
6174,48.32,28.2,0,Maison,reference_S-8_a_S-1
6175,18.77,,6,Electronique,reference_S-8_a_S-1
