transaction_id,customer_id,product_category,amount,currency,transaction_date,country,payment_method,status
102741,5697.0,electronique ,37.22,EUR,2026-02-10,FR,virement,COMPLETED 
101307,5012.0,Maisons,,EUR,2025/11/10 16:26,Belgique,virement,failed
101601,5477.0,BEAUTE,42275.0,EUR,16/06/2025,Belgique,-,pending
102621,5770.0,Sport,49.91,EUR,19/12/2025,DE,paypal,refunded
102029,5375.0,Mode,15.76,EUR,06-05-2025,France,cheque,completed
101950,5399.0,MAISON ,4.97,eur,2025/10/15 12:48,BELGIQUE,virement,failed
102718,5693.0,maison,14.39,EUR,2025/11/06 18:29,fr,cheque,Completed
100184,5093.0,Livres,,EUR,-,Etats-Unis,paypal,Completed
102400,5500.0,sport,12.81,EUR,12-Jun-2026,ch,virement,completed
100194,5511.0,beauté,28.67,EUR,2025-11-21,Suisse,carte_bancaire,Completed
102798,5277.0,MODE,17.75,USD,2026-09-03,fr,cheque,Completed
101195,5296.0,maison,36.47,USD,05-Jun-2026,Francia,carte_bancaire,pending
102547,5090.0,maison,,EUR,08-01-2026,USA,virement,refunded
100314,5627.0,LIVRES,79.43,EUR,25/05/2026,de,cheque,completed
100102,5481.0,Ã‰lectronique,18.02,EUR,04-01-2026,ch,carte_bancaire,completed
101437,5026.0,livres,104.23,eur,2025/04/17 02:54,GERMANY,carte_bancaire,pending
100109,5331.0,Maisons,9.06,EUR,2026/04/04 20:08,USA,carte_bancaire,failed
101221,5113.0,maison,32.42,EUR,05-14-2026,be,virement,Completed
100085,5415.0,Livres,92.33,EUR,2026/05/21 20:34,FRANCE,-,completed
100705,5627.0,Livre,42.33,EUR,08/09/2025,Allemagne,cheque,completed
102234,5090.0,MAISON ,8.25,EUR,2025/09/17 11:45,de,paypal,COMPLETED 
101973,5597.0,MAISON ,29.23,eur,24-May-2025,BE,virement,Completed
101517,5001.0,MAISON ,43.28,EUR,01-07-2026,France,virement,failed
100126,5170.0,Modes,,,08-01-2025,be,virement,refunded
102232,5361.0,MAISON ,4.17,EUR,2025/05/13 19:16,SUISSE,paypal,failed
100178,5624.0,Livre,$19.33,EUR,11-10-2025,BE,paypal,Completed
102030,5388.0,sport,50.72,,2025-08-03,SUISSE,carte_bancaire,pending
100076,5556.0,Livres,?,USD,2025/07/12 03:48,FR,carte_bancaire,COMPLETED 
100611,5398.0,Mode,23.34,EUR,07/09/2025,FR,paypal,completed
100679,5465.0,Sport,77.05,EUR,17/07/2025,Allemagne,carte_bancaire,completed
100152,5653.0,Livre,13.3,EUR,11-18-2025,France,-999,COMPLETED 
102484,5318.0,LIVRES,14.96,EUR,2025-08-29,FRANCE,carte_bancaire,pending
101025,5140.0,Electronique,36.33,eur,29-Jul-2026,Allemagne,carte_bancaire,completed
100907,5070.0, mode,48.02,EUR,05/05/2026,USA,carte_bancaire,COMPLETED 
100254,5734.0,Livre,"6,25€",,21/09/2026,DE,paypal,failed
102416,5634.0,MODE,40.3,EUR,2026/04/07 12:59,be,paypal,refunded
102332,,Ã‰lectronique,6.26,USD,2025-12-28,GERMANY,cheque,completed
100346,5627.0, mode,6.66,EUR,04/09/2026,fr,carte_bancaire,failed
